country,country_code_2_digit,country_code_3_digit,population,reported_date,source,ICU_occupancy_count,hospital_occupancy_count
Austria,AT,AUT,8858775,2023-03-22,Country_Website,52,1076
Austria,AT,AUT,8858775,2023-03-23,Country_Website,52,1053
Austria,AT,AUT,8858775,2023-03-24,Country_Website,55,1044
Austria,AT,AUT,8858775,2023-03-25,Country_Website,55,1044
Austria,AT,AUT,8858775,2023-03-26,Country_Website,55,1044
Austria,AT,AUT,8858775,2023-03-13,Country_Website,77,1239
Austria,AT,AUT,8858775,2023-03-14,Country_Website,77,1259
Austria,AT,AUT,8858775,2023-03-15,Country_Website,73,1258
Austria,AT,AUT,8858775,2023-03-16,Country_Website,65,1258
Austria,AT,AUT,8858775,2023-03-17,Country_Website,63,1190
Austria,AT,AUT,8858775,2023-03-18,Country_Website,63,1190
Austria,AT,AUT,8858775,2023-03-19,Country_Website,63,1190
Austria,AT,AUT,8858775,2023-03-06,Country_Website,88,1349
Austria,AT,AUT,8858775,2023-03-07,Country_Website,88,1320
Austria,AT,AUT,8858775,2023-03-08,Country_Website,88,1273
Austria,AT,AUT,8858775,2023-03-09,Country_Website,92,1223
Austria,AT,AUT,8858775,2023-03-10,Country_Website,78,1224
Austria,AT,AUT,8858775,2023-03-11,Country_Website,78,1224
Austria,AT,AUT,8858775,2023-03-12,Country_Website,78,1224
Austria,AT,AUT,8858775,2023-02-27,Country_Website,84,1485
Austria,AT,AUT,8858775,2023-02-28,Country_Website,86,1496
Austria,AT,AUT,8858775,2023-03-01,Country_Website,83,1470
Austria,AT,AUT,8858775,2023-03-02,Country_Website,81,1434
Austria,AT,AUT,8858775,2023-03-03,Country_Website,72,1361
Austria,AT,AUT,8858775,2023-03-04,Country_Website,72,1361
Austria,AT,AUT,8858775,2023-03-05,Country_Website,72,1361
Austria,AT,AUT,8858775,2023-02-20,Country_Website,55,1168
Austria,AT,AUT,8858775,2023-02-21,Country_Website,66,1304
Austria,AT,AUT,8858775,2023-02-22,Country_Website,72,1332
Austria,AT,AUT,8858775,2023-02-23,Country_Website,72,1362
Austria,AT,AUT,8858775,2023-02-24,Country_Website,75,1342
Austria,AT,AUT,8858775,2023-02-25,Country_Website,75,1342
Austria,AT,AUT,8858775,2023-02-26,Country_Website,75,1342
Austria,AT,AUT,8858775,2023-02-13,Country_Website,48,830
Austria,AT,AUT,8858775,2023-02-14,Country_Website,42,914
Austria,AT,AUT,8858775,2023-02-15,Country_Website,45,964
Austria,AT,AUT,8858775,2023-02-16,Country_Website,49,986
Austria,AT,AUT,8858775,2023-02-17,Country_Website,54,1010
Austria,AT,AUT,8858775,2023-02-18,Country_Website,54,1021
Austria,AT,AUT,8858775,2023-02-19,Country_Website,54,1021
Austria,AT,AUT,8858775,2023-02-06,Country_Website,40,687
Austria,AT,AUT,8858775,2023-02-07,Country_Website,44,722
Austria,AT,AUT,8858775,2023-02-08,Country_Website,42,765
Austria,AT,AUT,8858775,2023-02-09,Country_Website,40,744
Austria,AT,AUT,8858775,2023-02-10,Country_Website,43,750
Austria,AT,AUT,8858775,2023-02-11,Country_Website,47,754
Austria,AT,AUT,8858775,2023-02-12,Country_Website,47,754
Austria,AT,AUT,8858775,2023-01-30,Country_Website,40,573
Austria,AT,AUT,8858775,2023-01-31,Country_Website,39,594
Austria,AT,AUT,8858775,2023-02-01,Country_Website,40,619
Austria,AT,AUT,8858775,2023-02-02,Country_Website,40,665
Austria,AT,AUT,8858775,2023-02-03,Country_Website,40,673
Austria,AT,AUT,8858775,2023-02-04,Country_Website,40,677
Austria,AT,AUT,8858775,2023-02-05,Country_Website,40,677
Austria,AT,AUT,8858775,2023-01-23,Country_Website,56,638
Austria,AT,AUT,8858775,2023-01-24,Country_Website,51,608
Austria,AT,AUT,8858775,2023-01-25,Country_Website,42,595
Austria,AT,AUT,8858775,2023-01-26,Country_Website,41,581
Austria,AT,AUT,8858775,2023-01-27,Country_Website,36,583
Austria,AT,AUT,8858775,2023-01-28,Country_Website,40,575
Austria,AT,AUT,8858775,2023-01-29,Country_Website,40,575
Austria,AT,AUT,8858775,2023-01-16,Country_Website,54,815
Austria,AT,AUT,8858775,2023-01-17,Country_Website,52,808
Austria,AT,AUT,8858775,2023-01-18,Country_Website,58,777
Austria,AT,AUT,8858775,2023-01-19,Country_Website,56,744
Austria,AT,AUT,8858775,2023-01-20,Country_Website,51,740
Austria,AT,AUT,8858775,2023-01-21,Country_Website,52,731
Austria,AT,AUT,8858775,2023-01-22,Country_Website,52,731
Austria,AT,AUT,8858775,2023-01-09,Country_Website,77,1026
Austria,AT,AUT,8858775,2023-01-10,Country_Website,77,976
Austria,AT,AUT,8858775,2023-01-11,Country_Website,71,970
Austria,AT,AUT,8858775,2023-01-12,Country_Website,65,905
Austria,AT,AUT,8858775,2023-01-13,Country_Website,63,871
Austria,AT,AUT,8858775,2023-01-14,Country_Website,61,864
Austria,AT,AUT,8858775,2023-01-15,Country_Website,61,864
Austria,AT,AUT,8858775,2023-01-02,Country_Website,61,1202
Austria,AT,AUT,8858775,2023-01-03,Country_Website,66,1138
Austria,AT,AUT,8858775,2023-01-04,Country_Website,65,1138
Austria,AT,AUT,8858775,2023-01-05,Country_Website,68,1108
Austria,AT,AUT,8858775,2023-01-06,Country_Website,73,1089
Austria,AT,AUT,8858775,2023-01-07,Country_Website,73,1090
Austria,AT,AUT,8858775,2023-01-08,Country_Website,73,1090
Austria,AT,AUT,8858775,2022-12-26,Country_Website,63,1103
Austria,AT,AUT,8858775,2022-12-27,Country_Website,52,1098
Austria,AT,AUT,8858775,2022-12-28,Country_Website,63,1123
Austria,AT,AUT,8858775,2022-12-29,Country_Website,70,1130
Austria,AT,AUT,8858775,2022-12-30,Country_Website,60,1157
Austria,AT,AUT,8858775,2022-12-31,Country_Website,61,1157
Austria,AT,AUT,8858775,2023-01-01,Country_Website,61,1157
Austria,AT,AUT,8858775,2022-12-19,Country_Website,64,1187
Austria,AT,AUT,8858775,2022-12-20,Country_Website,73,1210
Austria,AT,AUT,8858775,2022-12-21,Country_Website,65,1185
Austria,AT,AUT,8858775,2022-12-22,Country_Website,61,1186
Austria,AT,AUT,8858775,2022-12-23,Country_Website,61,1133
Austria,AT,AUT,8858775,2022-12-24,Country_Website,63,1102
Austria,AT,AUT,8858775,2022-12-25,Country_Website,63,1102
