country,country_code_2_digit,country_code_3_digit,population,reported_date,source,ecdc_year_week,week_start_date,week_end_date,new_ICU_admissions_count,new_hospital_admissions_count
Belgium,BE,BEL,11455519,2022-06-26,ECDC database compiled from public online sources,2022-W25,2022-06-12,2022-06-18,,6
Belgium,BE,BEL,11455519,2022-06-19,ECDC database compiled from public online sources,2022-W24,2022-06-05,2022-06-11,,4
Belgium,BE,BEL,11455519,2022-06-12,ECDC database compiled from public online sources,2022-W23,2022-05-29,2022-06-04,,3
Belgium,BE,BEL,11455519,2022-06-05,ECDC database compiled from public online sources,2022-W22,2022-05-22,2022-05-28,,3
Belgium,BE,BEL,11455519,2022-05-29,ECDC database compiled from public online sources,2022-W21,2022-05-15,2022-05-21,,3
Belgium,BE,BEL,11455519,2022-05-22,ECDC database compiled from public online sources,2022-W20,2022-05-08,2022-05-14,,4
Belgium,BE,BEL,11455519,2022-05-15,ECDC database compiled from public online sources,2022-W19,2022-05-01,2022-05-07,,6
Belgium,BE,BEL,11455519,2022-05-08,ECDC database compiled from public online sources,2022-W18,2022-04-24,2022-04-30,,7
Belgium,BE,BEL,11455519,2022-05-01,ECDC database compiled from public online sources,2022-W17,2022-04-17,2022-04-23,,8
Belgium,BE,BEL,11455519,2022-04-24,ECDC database compiled from public online sources,2022-W16,2022-04-10,2022-04-16,,10
Belgium,BE,BEL,11455519,2022-04-17,ECDC database compiled from public online sources,2022-W15,2022-04-03,2022-04-09,,13
Belgium,BE,BEL,11455519,2022-04-10,ECDC database compiled from public online sources,2022-W14,2022-03-27,2022-04-02,,13
Belgium,BE,BEL,11455519,2022-04-03,ECDC database compiled from public online sources,2022-W13,2022-03-20,2022-03-26,,13
Belgium,BE,BEL,11455519,2022-03-27,ECDC database compiled from public online sources,2022-W12,2022-03-13,2022-03-19,,12
Belgium,BE,BEL,11455519,2022-03-20,ECDC database compiled from public online sources,2022-W11,2022-03-06,2022-03-12,,10
Belgium,BE,BEL,11455519,2022-03-13,ECDC database compiled from public online sources,2022-W10,2022-02-27,2022-03-05,,8
Belgium,BE,BEL,11455519,2022-03-06,ECDC database compiled from public online sources,2022-W09,2022-02-20,2022-02-26,,8
Belgium,BE,BEL,11455519,2022-02-27,ECDC database compiled from public online sources,2022-W08,2022-02-13,2022-02-19,,9
Belgium,BE,BEL,11455519,2022-02-20,ECDC database compiled from public online sources,2022-W07,2022-02-06,2022-02-12,,12
Belgium,BE,BEL,11455519,2022-02-13,ECDC database compiled from public online sources,2022-W06,2022-01-30,2022-02-05,,16
Belgium,BE,BEL,11455519,2022-02-06,ECDC database compiled from public online sources,2022-W05,2022-01-23,2022-01-29,,21
Belgium,BE,BEL,11455519,2022-01-30,ECDC database compiled from public online sources,2022-W04,2022-01-16,2022-01-22,,21
